price,action,networth
1.1536999940872192,Hold,1.0
1.1404999494552612,Hold,1.0
1.12090003490448,Hold,1.0
1.1306999921798706,Hold,1.0
1.1404999494552612,Buy,1.0
1.1274000406265259,Hold,0.9885138891632637
1.1306999921798706,Sell,0.9914073145903501
1.107800006866455,Hold,0.9914073145903501
1.101099967956543,Buy,0.9914073145903501
1.094599962234497,Sell,0.98555484578166
1.0979000329971313,Hold,0.98555484578166
1.0815999507904053,Hold,0.98555484578166
1.0455000400543213,Buy,0.98555484578166
1.029099941253662,Hold,0.9700950693827535
1.06850004196167,Sell,1.0072361106925605
1.0781999826431274,Hold,1.0072361106925605
1.0914000272750854,Hold,1.0072361106925605
1.0979000329971313,Hold,1.0072361106925605
1.0880999565124512,Hold,1.0072361106925605
1.0979000329971313,Hold,1.0072361106925605
1.1045000553131104,Hold,1.0072361106925605
1.107800006866455,Hold,1.0072361106925605
1.0880999565124512,Hold,1.0072361106925605
1.0750000476837158,Hold,1.0072361106925605
1.0651999711990356,Hold,1.0072361106925605
1.061900019645691,Hold,1.0072361106925605
1.06850004196167,Hold,1.0072361106925605
1.0356999635696411,Hold,1.0072361106925605
1.0389000177383423,Hold,1.0072361106925605
1.048799991607666,Hold,1.0072361106925605
1.0389000177383423,Hold,1.0072361106925605
1.0389000177383423,Buy,1.0072361106925605
1.0651999711990356,Hold,1.0327344862656138
1.0781999826431274,Hold,1.0453382794529615
1.0815999507904053,Sell,1.0486346223489773
1.0979000329971313,Hold,1.0486346223489773
1.101099967956543,Hold,1.0486346223489773
1.0914000272750854,Hold,1.0486346223489773
1.0848000049591064,Hold,1.0486346223489773
1.094599962234497,Buy,1.0486346223489773
1.0914000272750854,Hold,1.0455690616843725
1.1109999418258667,Hold,1.064345920538884
1.101099967956543,Hold,1.054861674496585
1.1175999641418457,Hold,1.0706687893015352
1.1373000144958496,Hold,1.089541578974445
1.1241999864578247,Hold,1.076991658064186
1.1274000406265259,Sell,1.080057332932146
1.1373000144958496,Buy,1.080057332932146
1.1404999494552612,Hold,1.0830962084916003
1.114300012588501,Hold,1.058214969087196
1.1109999418258667,Sell,1.055080997768328
1.1241999864578247,Hold,1.055080997768328
1.1373000144958496,Buy,1.055080997768328
1.1470999717712402,Hold,1.0641724851229548
1.1503000259399414,Sell,1.0671411972500913
1.1470999717712402,Hold,1.0671411972500913
1.1470999717712402,Buy,1.0671411972500913
1.166700005531311,Sell,1.085375007735299
1.1601999998092651,Hold,1.085375007735299
1.1470999717712402,Hold,1.085375007735299
1.1241999864578247,Hold,1.085375007735299
1.1373000144958496,Hold,1.085375007735299
1.1503000259399414,Hold,1.085375007735299
1.1536999940872192,Hold,1.085375007735299
1.17330002784729,Hold,1.085375007735299
1.179900050163269,Hold,1.085375007735299
1.17330002784729,Hold,1.085375007735299
1.1536999940872192,Hold,1.085375007735299
1.1438000202178955,Hold,1.085375007735299
1.1373000144958496,Hold,1.085375007735299
1.12090003490448,Buy,1.085375007735299
1.0979000329971313,Hold,1.063103951913423
1.1175999641418457,Hold,1.0821795271233046
1.1306999921798706,Sell,1.0948643719715034
1.1373000144958496,Hold,1.0948643719715034
1.1373000144958496,Hold,1.0948643719715034
1.1438000202178955,Hold,1.0948643719715034
1.17330002784729,Hold,1.0948643719715034
1.1699999570846558,Hold,1.0948643719715034
1.1994999647140503,Hold,1.0948643719715034
1.2093000411987305,Hold,1.0948643719715034
1.2060999870300293,Hold,1.0948643719715034
1.1897000074386597,Hold,1.0948643719715034
1.2093000411987305,Hold,1.0948643719715034
1.238800048828125,Buy,1.0948643719715034
1.2029000520706177,Hold,1.0631355813237557
1.1962000131607056,Sell,1.0572140172261235
1.2223999500274658,Hold,1.0572140172261235
1.2223999500274658,Hold,1.0572140172261235
1.1994999647140503,Hold,1.0572140172261235
1.2289999723434448,Hold,1.0572140172261235
1.2585999965667725,Hold,1.0572140172261235
1.2717000246047974,Hold,1.0572140172261235
1.2618000507354736,Hold,1.0572140172261235
1.2552000284194946,Hold,1.0572140172261235
1.2717000246047974,Hold,1.0572140172261235
1.2717000246047974,Hold,1.0572140172261235
1.2683000564575195,Hold,1.0572140172261235
1.274899959564209,Hold,1.0572140172261235
1.3043999671936035,Hold,1.0572140172261235
1.3108999729156494,Hold,1.0572140172261235
1.3043999671936035,Buy,1.0572140172261235
1.294600009918213,Sell,1.0492711680538325
1.3011000156402588,Hold,1.0492711680538325
1.2879999876022339,Hold,1.0492711680538325
1.3108999729156494,Hold,1.0492711680538325
1.3240000009536743,Hold,1.0492711680538325
1.3207000494003296,Hold,1.0492711680538325
1.3108999729156494,Hold,1.0492711680538325
1.3043999671936035,Hold,1.0492711680538325
1.2978999614715576,Hold,1.0492711680538325
1.2847000360488892,Hold,1.0492711680538325
1.2879999876022339,Hold,1.0492711680538325
1.281499981880188,Buy,1.0492711680538325
1.2552000284194946,Hold,1.0277371974899192
1.2585999965667725,Hold,1.0305210356480798
1.2717000246047974,Hold,1.0412471237599417
1.3043999671936035,Sell,1.068021300459585
1.3142999410629272,Hold,1.068021300459585
1.3306000232696533,Hold,1.068021300459585
1.327299952507019,Hold,1.068021300459585
1.3207000494003296,Hold,1.068021300459585
1.3306000232696533,Hold,1.068021300459585
1.3372000455856323,Buy,1.068021300459585
1.3142999410629272,Hold,1.0497309934155943
1.333799958229065,Hold,1.0653056516438189
1.3633999824523926,Sell,1.0889471826690353
1.3732000589370728,Buy,1.0889471826690353
1.3830000162124634,Sell,1.0967185454765596
1.3797999620437622,Hold,1.0967185454765596
