price,action,networth
3.617799997329712,Hold,1.0
3.617799997329712,Hold,1.0
3.780400037765503,Hold,1.0
3.831899881362915,Hold,1.0
3.7976999282836914,Hold,1.0
3.7207000255584717,Hold,1.0
3.7035999298095703,Hold,1.0
3.617799997329712,Hold,1.0
3.6691999435424805,Hold,1.0
3.6691999435424805,Buy,1.0
3.686199903488159,Hold,1.0046331516971696
3.7035999298095703,Hold,1.0093753370752203
3.7207000255584717,Hold,1.014035779681788
3.737499952316284,Hold,1.0186144145385172
3.737499952316284,Sell,1.0186144145385172
3.7035999298095703,Buy,1.0186144145385172
3.7207000255584717,Hold,1.023317515399823
3.7207000255584717,Hold,1.023317515399823
3.7464001178741455,Sell,1.0303859042603503
3.780400037765503,Buy,1.0303859042603503
3.8661999702453613,Hold,1.0537715354450308
3.848599910736084,Hold,1.0489744628994433
3.8575000762939453,Hold,1.0514002921886167
3.8575000762939453,Hold,1.0514002921886167
3.8148999214172363,Hold,1.0397891931869845
3.7888998985290527,Hold,1.0327026264673773
3.7464001178741455,Sell,1.0211188854654973
3.780400037765503,Buy,1.0211188854654973
3.7976999282836914,Hold,1.0257917361554072
3.8232998847961426,Hold,1.0327065067619092
3.934299945831299,Sell,1.062688587356167
4.037199974060059,Buy,1.062688587356167
4.062300205230713,Sell,1.069295574717814
4.251100063323975,Hold,1.069295574717814
4.148399829864502,Hold,1.069295574717814
4.071400165557861,Hold,1.069295574717814
4.054200172424316,Hold,1.069295574717814
4.037199974060059,Hold,1.069295574717814
4.028299808502197,Hold,1.069295574717814
4.028299808502197,Hold,1.069295574717814
4.028299808502197,Hold,1.069295574717814
3.934299945831299,Hold,1.069295574717814
3.8575000762939453,Hold,1.069295574717814
3.848599910736084,Hold,1.069295574717814
3.831899881362915,Hold,1.069295574717814
3.891700029373169,Buy,1.069295574717814
3.8575000762939453,Hold,1.0598986894987183
3.7464001178741455,Hold,1.0293725202171768
3.7548999786376953,Hold,1.0317079683328028
3.780400037765503,Hold,1.0387144436969382
3.7464001178741455,Hold,1.0293725202171768
3.7548999786376953,Hold,1.0317079683328028
3.771899938583374,Hold,1.0363789300726836
3.7207000255584717,Hold,1.0223110831137072
3.780400037765503,Hold,1.0387144436969382
3.771899938583374,Hold,1.0363789300726836
3.8575000762939453,Hold,1.0598986894987183
3.9175000190734863,Hold,1.0763844599366363
3.960200071334839,Sell,1.0881168587799868
4.173799991607666,Buy,1.0881168587799868
4.16540002822876,Hold,1.0859269738348287
4.16540002822876,Hold,1.0859269738348287
4.105400085449219,Hold,1.0702848852355842
4.139999866485596,Hold,1.07930510784603
4.173799991607666,Hold,1.0881168587799868
4.139999866485596,Hold,1.07930510784603
4.208199977874756,Hold,1.0970849945493777
4.156899929046631,Hold,1.0837109833130083
4.071400165557861,Hold,1.0614210474605725
4.088399887084961,Hold,1.0658529041919436
4.131199836730957,Hold,1.0770109249064925
4.173799991607666,Hold,1.0881168587799868
4.19980001449585,Hold,1.0948951096042199
4.353499889373779,Hold,1.1349649321600033
4.34499979019165,Hold,1.1327489416381828
4.34499979019165,Hold,1.1327489416381828
4.541800022125244,Hold,1.1840551016385024
4.482100009918213,Sell,1.1684912054569747
4.4475998878479,Hold,1.1684912054569747
4.41379976272583,Buy,1.1684912054569747
4.4475998878479,Hold,1.1774393116402269
4.404699802398682,Hold,1.1660821193670081
4.353499889373779,Hold,1.1525276648593543
4.404699802398682,Hold,1.1660821193670081
4.421800136566162,Hold,1.1706091915404717
4.4903998374938965,Hold,1.1887699943725272
4.4475998878479,Hold,1.1774393116402269
4.387599945068359,Hold,1.1615551734294536
4.379499912261963,Hold,1.159410804040947
4.387599945068359,Hold,1.1615551734294536
4.439000129699707,Hold,1.175162647018945
4.473299980163574,Sell,1.1842430484349726
4.507599830627441,Hold,1.1842430484349726
4.541800022125244,Buy,1.1842430484349726
4.618599891662598,Sell,1.204268085023388
4.5843000411987305,Hold,1.204268085023388
4.507599830627441,Hold,1.204268085023388
4.550000190734863,Hold,1.204268085023388
4.567200183868408,Hold,1.204268085023388
4.652900218963623,Hold,1.204268085023388
4.687399864196777,Hold,1.204268085023388
4.670100212097168,Hold,1.204268085023388
4.550000190734863,Hold,1.204268085023388
4.541800022125244,Buy,1.204268085023388
4.567200183868408,Sell,1.2110029927676114
4.550000190734863,Hold,1.2110029927676114
4.515900135040283,Hold,1.2110029927676114
4.455999851226807,Buy,1.2110029927676114
4.353499889373779,Hold,1.1831466721421948
4.37060022354126,Hold,1.1877940142753962
4.439000129699707,Sell,1.20638299403941
4.455999851226807,Hold,1.20638299403941
4.507599830627441,Hold,1.20638299403941
4.635799884796143,Hold,1.20638299403941
4.559199810028076,Hold,1.20638299403941
4.601600170135498,Buy,1.20638299403941
4.618599891662598,Sell,1.210839742604137
4.601600170135498,Hold,1.210839742604137
4.635799884796143,Buy,1.210839742604137
4.627200126647949,Sell,1.2085935436306292
4.738500118255615,Hold,1.2085935436306292
4.841300010681152,Hold,1.2085935436306292
4.8069000244140625,Buy,1.2085935436306292
4.738500118255615,Sell,1.1913958310615775
4.8069000244140625,Buy,1.1913958310615775
5.054999828338623,Sell,1.2528876595959033
4.995200157165527,Hold,1.2528876595959033
4.995200157165527,Hold,1.2528876595959033
4.986400127410889,Hold,1.2528876595959033
5.029300212860107,Hold,1.2528876595959033
5.123300075531006,Hold,1.2528876595959033
5.131800174713135,Hold,1.2528876595959033
5.071899890899658,Hold,1.2528876595959033
5.037899971008301,Buy,1.2528876595959033
5.0208001136779785,Hold,1.2486350542735862
