price,action,networth
5.140500068664551,Hold,1.0
5.140500068664551,Hold,1.0
4.9959001541137695,Hold,1.0
5.044099807739258,Hold,1.0
4.9959001541137695,Hold,1.0
4.947800159454346,Hold,1.0
4.9959001541137695,Hold,1.0
4.967299938201904,Hold,1.0
4.899700164794922,Hold,1.0
4.899700164794922,Hold,1.0
5.044099807739258,Hold,1.0
4.967299938201904,Hold,1.0
5.1209001541137695,Hold,1.0
5.1209001541137695,Hold,1.0
5.1209001541137695,Hold,1.0
5.044099807739258,Hold,1.0
5.188300132751465,Hold,1.0
5.044099807739258,Hold,1.0
5.265600204467773,Hold,1.0
5.140500068664551,Hold,1.0
5.236599922180176,Hold,1.0
5.188300132751465,Hold,1.0
5.092199802398682,Hold,1.0
5.092199802398682,Hold,1.0
5.22730016708374,Hold,1.0
5.092199802398682,Hold,1.0
5.140500068664551,Hold,1.0
5.16949987411499,Hold,1.0
5.092199802398682,Hold,1.0
5.284800052642822,Hold,1.0
5.284800052642822,Hold,1.0
5.092199802398682,Hold,1.0
5.284800052642822,Hold,1.0
5.332699775695801,Hold,1.0
5.535299777984619,Hold,1.0
5.371600151062012,Hold,1.0
5.592700004577637,Hold,1.0
5.592700004577637,Hold,1.0
5.592700004577637,Hold,1.0
5.592700004577637,Hold,1.0
5.467599868774414,Hold,1.0
5.371600151062012,Hold,1.0
5.50629997253418,Hold,1.0
5.362100124359131,Hold,1.0
5.371600151062012,Hold,1.0
5.294300079345703,Hold,1.0
5.34250020980835,Hold,1.0
5.323500156402588,Hold,1.0
5.323500156402588,Hold,1.0
5.323500156402588,Hold,1.0
5.515999794006348,Hold,1.0
5.371600151062012,Hold,1.0
5.4197001457214355,Hold,1.0
5.467599868774414,Hold,1.0
5.467599868774414,Hold,1.0
5.573599815368652,Hold,1.0
5.5447001457214355,Buy,1.0
5.5447001457214355,Hold,1.0
5.5447001457214355,Hold,1.0
5.5447001457214355,Hold,1.0
5.6697998046875,Hold,1.0225620242174138
5.640999794006348,Hold,1.017367873059686
5.592700004577637,Sell,1.0086568899299704
5.621699810028076,Hold,1.0086568899299704
5.515999794006348,Hold,1.0086568899299704
5.621699810028076,Hold,1.0086568899299704
5.554500102996826,Hold,1.0086568899299704
5.621699810028076,Hold,1.0086568899299704
5.621699810028076,Hold,1.0086568899299704
5.486999988555908,Hold,1.0086568899299704
5.621699810028076,Hold,1.0086568899299704
5.573599815368652,Hold,1.0086568899299704
5.467599868774414,Hold,1.0086568899299704
5.371600151062012,Hold,1.0086568899299704
5.4197001457214355,Hold,1.0086568899299704
5.400100231170654,Hold,1.0086568899299704
5.400100231170654,Hold,1.0086568899299704
5.323500156402588,Hold,1.0086568899299704
5.362100124359131,Hold,1.0086568899299704
5.34250020980835,Hold,1.0086568899299704
5.448400020599365,Hold,1.0086568899299704
5.429200172424316,Hold,1.0086568899299704
5.496600151062012,Hold,1.0086568899299704
5.4197001457214355,Hold,1.0086568899299704
5.515999794006348,Hold,1.0086568899299704
5.640999794006348,Hold,1.0086568899299704
5.515999794006348,Hold,1.0086568899299704
5.515999794006348,Hold,1.0086568899299704
5.515999794006348,Hold,1.0086568899299704
5.6697998046875,Hold,1.0086568899299704
5.6697998046875,Hold,1.0086568899299704
5.6697998046875,Hold,1.0086568899299704
5.640999794006348,Hold,1.0086568899299704
5.737299919128418,Hold,1.0086568899299704
5.814300060272217,Hold,1.0086568899299704
5.8719000816345215,Hold,1.0086568899299704
5.948999881744385,Hold,1.0086568899299704
5.939300060272217,Hold,1.0086568899299704
5.939300060272217,Hold,1.0086568899299704
5.852799892425537,Hold,1.0086568899299704
5.804800033569336,Hold,1.0086568899299704
5.804800033569336,Hold,1.0086568899299704
5.804800033569336,Hold,1.0086568899299704
5.756499767303467,Hold,1.0086568899299704
5.862299919128418,Hold,1.0086568899299704
5.727499961853027,Hold,1.0086568899299704
5.948999881744385,Hold,1.0086568899299704
5.8719000816345215,Buy,1.0086568899299704
5.929699897766113,Hold,1.0185855641184431
5.958799839019775,Hold,1.0235842622968858
6.103300094604492,Hold,1.0484060706324927
6.122399806976318,Hold,1.0516869603294712
6.11269998550415,Hold,1.0500207549065292
6.247399806976318,Hold,1.0731590748900701
6.026000022888184,Hold,1.0351277026690118
6.103300094604492,Hold,1.0484060706324927
6.151299953460693,Sell,1.056651338378516
6.122399806976318,Hold,1.056651338378516
6.103300094604492,Hold,1.056651338378516
6.247399806976318,Hold,1.056651338378516
6.151299953460693,Hold,1.056651338378516
6.42080020904541,Hold,1.056651338378516
6.468999862670898,Hold,1.056651338378516
6.805699825286865,Hold,1.056651338378516
6.690299987792969,Hold,1.056651338378516
6.815499782562256,Hold,1.056651338378516
6.815499782562256,Hold,1.056651338378516
6.642099857330322,Hold,1.056651338378516
6.671000003814697,Hold,1.056651338378516
6.815499782562256,Hold,1.056651338378516
6.7480998039245605,Hold,1.056651338378516
6.795899868011475,Hold,1.056651338378516
6.863699913024902,Hold,1.056651338378516
7.1620001792907715,Hold,1.056651338378516
7.325500011444092,Hold,1.056651338378516
7.315700054168701,Hold,1.056651338378516
7.210100173950195,Hold,1.056651338378516
7.210100173950195,Hold,1.056651338378516
7.33519983291626,Hold,1.056651338378516
7.1427001953125,Hold,1.056651338378516
7.113900184631348,Hold,1.056651338378516
7.1427001953125,Hold,1.056651338378516
7.094600200653076,Hold,1.056651338378516
7.1041998863220215,Hold,1.056651338378516
7.075300216674805,Hold,1.056651338378516
7.1427001953125,Hold,1.056651338378516
7.0655999183654785,Hold,1.056651338378516
